ITEMë²ˆí˜¸	ITEM_NAME(K)	ITEM_TYPE	SUB_TYPE	SIZE	ANTI_FLAG	LIMIT_TYPE0	LIMIT_VALUE0	ADDON_VALUE2	VALUE0	VALUE1	VALUE2	VALUE3	VALUE4
45	¼¼°Ë+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	15	0	0	25	35	22	26
46	¼¼°Ë+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	15	0	0	25	35	22	26
47	¼¼°Ë+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	15	0	0	25	35	22	26
48	¼¼°Ë+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	15	0	0	25	35	22	26
49	¼¼°Ë+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	15	0	0	25	35	22	26
50	³¶¾Æµµ+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	20	0	0	20	28	25	35
51	³¶¾Æµµ+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	20	0	0	20	28	25	35
52	³¶¾Æµµ+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	20	0	0	20	28	25	35
53	³¶¾Æµµ+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	20	0	0	20	28	25	35
54	³¶¾Æµµ+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	20	0	0	20	28	25	35
55	³¶¾Æµµ+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	20	0	0	20	28	25	35
56	³¶¾Æµµ+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	20	0	0	20	28	25	35
57	³¶¾Æµµ+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	20	0	0	20	28	25	35
58	³¶¾Æµµ+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	20	0	0	20	28	25	35
59	³¶¾Æµµ+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	20	0	0	20	28	25	35
60	Àº°Ë+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	25	0	0	38	52	36	46
61	Àº°Ë+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	25	0	0	38	52	36	46
62	Àº°Ë+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	25	0	0	38	52	36	46
63	Àº°Ë+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	25	0	0	38	52	36	46
64	Àº°Ë+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	25	0	0	38	52	36	46
65	Àº°Ë+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	25	0	0	38	52	36	46
66	Àº°Ë+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	25	0	0	38	52	36	46
67	Àº°Ë+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	25	0	0	38	52	36	46
68	Àº°Ë+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	25	0	0	38	52	36	46
69	Àº°Ë+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	25	0	0	38	52	36	46
70	¿¬°Ë+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	32	0	0	36	46	38	52
71	¿¬°Ë+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	32	0	0	36	46	38	52
72	¿¬°Ë+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	32	0	0	36	46	38	52
73	¿¬°Ë+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	32	0	0	36	46	38	52
74	¿¬°Ë+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	32	0	0	36	46	38	52
75	¿¬°Ë+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	32	0	0	36	46	38	52
76	¿¬°Ë+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	32	0	0	36	46	38	52
77	¿¬°Ë+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	32	0	0	36	46	38	52
78	¿¬°Ë+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	32	0	0	36	46	38	52
79	¿¬°Ë+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	32	0	0	36	46	38	52
80	»çÀÎ°Ë+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	36	0	0	52	68	48	58
81	»çÀÎ°Ë+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	36	0	0	52	68	48	58
82	»çÀÎ°Ë+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	36	0	0	52	68	48	58
83	»çÀÎ°Ë+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	36	0	0	52	68	48	58
84	»çÀÎ°Ë+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	36	0	0	52	68	48	58
85	»çÀÎ°Ë+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	36	0	0	52	68	48	58
86	»çÀÎ°Ë+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	36	0	0	52	68	48	58
87	»çÀÎ°Ë+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	36	0	0	52	68	48	58
88	»çÀÎ°Ë+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	36	0	0	52	68	48	58
89	»çÀÎ°Ë+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	36	0	0	52	68	48	58
90	³²¸¸µµ+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	40	0	0	48	58	52	68
91	³²¸¸µµ+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	40	0	0	48	58	52	68
92	³²¸¸µµ+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	40	0	0	48	58	52	68
93	³²¸¸µµ+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	40	0	0	48	58	52	68
94	³²¸¸µµ+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	40	0	0	48	58	52	68
95	³²¸¸µµ+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	40	0	0	48	58	52	68
96	³²¸¸µµ+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	40	0	0	48	58	52	68
97	³²¸¸µµ+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	40	0	0	48	58	52	68
98	³²¸¸µµ+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	40	0	0	48	58	52	68
99	³²¸¸µµ+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	40	0	0	48	58	52	68
100	Ç÷°Ë+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	45	0	0	69	91	65	87
101	Ç÷°Ë+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	45	0	0	69	91	65	87
102	Ç÷°Ë+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	45	0	0	69	91	65	87
103	Ç÷°Ë+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	45	0	0	69	91	65	87
104	Ç÷°Ë+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	45	0	0	69	91	65	87
105	Ç÷°Ë+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	45	0	0	69	91	65	87
106	Ç÷°Ë+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	45	0	0	69	91	65	87
107	Ç÷°Ë+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	45	0	0	69	91	65	87
108	Ç÷°Ë+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	45	0	0	69	91	65	87
109	Ç÷°Ë+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	45	0	0	69	91	65	87
110	¹¬°Ë+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	50	0	0	65	87	69	91
111	¹¬°Ë+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	50	0	0	65	87	69	91
112	¹¬°Ë+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	50	0	0	65	87	69	91
113	¹¬°Ë+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	50	0	0	65	87	69	91
114	¹¬°Ë+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	50	0	0	65	87	69	91
115	¹¬°Ë+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	50	0	0	65	87	69	91
116	¹¬°Ë+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	50	0	0	65	87	69	91
117	¹¬°Ë+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	50	0	0	65	87	69	91
118	¹¬°Ë+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	50	0	0	65	87	69	91
119	¹¬°Ë+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	50	0	0	65	87	69	91
120	ºñ¼±°Ë+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	55	0	0	72	108	74	100
121	ºñ¼±°Ë+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	55	0	0	72	108	74	100
122	ºñ¼±°Ë+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	55	0	0	72	108	74	100
123	ºñ¼±°Ë+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	55	0	0	72	108	74	100
124	ºñ¼±°Ë+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	55	0	0	72	108	74	100
125	ºñ¼±°Ë+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	55	0	0	72	108	74	100
126	ºñ¼±°Ë+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	55	0	0	72	108	74	100
127	ºñ¼±°Ë+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	55	0	0	72	108	74	100
128	ºñ¼±°Ë+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	55	0	0	72	108	74	100
129	ºñ¼±°Ë+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	55	0	0	72	108	74	100
130	¹Ý¿ùµµ+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	60	0	0	74	100	72	108
131	¹Ý¿ùµµ+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	60	0	0	74	100	72	108
132	¹Ý¿ùµµ+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	60	0	0	74	100	72	108
133	¹Ý¿ùµµ+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	60	0	0	74	100	72	108
134	¹Ý¿ùµµ+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	60	0	0	74	100	72	108
135	¹Ý¿ùµµ+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	60	0	0	74	100	72	108
136	¹Ý¿ùµµ+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	60	0	0	74	100	72	108
137	¹Ý¿ùµµ+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	60	0	0	74	100	72	108
138	¹Ý¿ùµµ+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	60	0	0	74	100	72	108
139	¹Ý¿ùµµ+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	60	0	0	74	100	72	108
140	Épée de bataille+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	65	0	0	65	87	100	140
141	Épée de bataille+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	65	0	0	63	85	100	140
142	Épée de bataille+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	65	0	0	61	83	100	140
143	Épée de bataille+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	65	0	0	59	81	100	140
144	Épée de bataille+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	65	0	0	57	79	100	140
145	Épée de bataille+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	65	0	0	55	77	100	140
146	Épée de bataille+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	65	0	0	53	75	100	140
147	Épée de bataille+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	65	0	0	51	73	100	140
148	Épée de bataille+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	65	0	0	39	61	100	140
149	Épée de bataille+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	65	0	0	18	40	100	140
150	Lame de croc fantome+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_ASSASSIN | ANTI_MUSA	LEVEL	65	0	0	90	110	77	105
151	Lame de croc fantome+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_ASSASSIN | ANTI_MUSA	LEVEL	65	0	0	90	110	74	102
152	Lame de croc fantome+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_ASSASSIN | ANTI_MUSA	LEVEL	65	0	0	90	110	70	100
153	Lame de croc fantome+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_ASSASSIN | ANTI_MUSA	LEVEL	65	0	0	90	110	69	99
154	Lame de croc fantome+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_ASSASSIN | ANTI_MUSA	LEVEL	65	0	0	90	110	67	98
155	Lame de croc fantome+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_ASSASSIN | ANTI_MUSA	LEVEL	65	0	0	90	110	63	96
156	Lame de croc fantome+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_ASSASSIN | ANTI_MUSA	LEVEL	65	0	0	90	110	56	93
157	Lame de croc fantome+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_ASSASSIN | ANTI_MUSA	LEVEL	65	0	0	90	110	46	87
158	Lame de croc fantome+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_ASSASSIN | ANTI_MUSA	LEVEL	65	0	0	90	110	29	79
159	Lame de croc fantome+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_ASSASSIN | ANTI_MUSA	LEVEL	65	0	0	90	110	5	67
160	Ãµ³à°Ë+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	65	0	0	69	81	102	138
161	Ãµ³à°Ë+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	65	0	0	69	81	102	138
162	Ãµ³à°Ë+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	65	0	0	69	81	102	138
163	Ãµ³à°Ë+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	65	0	0	69	81	102	138
164	Ãµ³à°Ë+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	65	0	0	69	81	102	138
165	Ãµ³à°Ë+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	65	0	0	69	81	102	138
166	Ãµ³à°Ë+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	65	0	0	69	81	102	138
167	Ãµ³à°Ë+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	65	0	0	69	81	102	138
168	Ãµ³à°Ë+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	65	0	0	69	81	102	138
169	Ãµ³à°Ë+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	65	0	0	69	81	102	138
170	¼ÒÆÐµµ+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	70	0	0	69	81	102	138
171	¼ÒÆÐµµ+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	70	0	0	69	81	102	138
172	¼ÒÆÐµµ+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	70	0	0	69	81	102	138
173	¼ÒÆÐµµ+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	70	0	0	69	81	102	138
174	¼ÒÆÐµµ+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	70	0	0	69	81	102	138
175	¼ÒÆÐµµ+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	70	0	0	69	81	102	138
176	¼ÒÆÐµµ+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_SELL | ANTI_MUDANG	LEVEL	70	0	0	69	81	102	138
177	¼ÒÆÐµµ+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_SELL | ANTI_MUDANG	LEVEL	70	0	0	69	81	102	138
178	¼ÒÆÐµµ+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_SELL | ANTI_MUDANG	LEVEL	70	0	0	69	81	102	138
179	¼ÒÆÐµµ+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_SELL | ANTI_MUDANG	LEVEL	70	0	0	69	81	102	138
180	¼­¸ð°Ë+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	75	0	0	0	0	100	140
181	¼­¸ð°Ë+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	75	0	0	0	0	100	140
182	¼­¸ð°Ë+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	75	0	0	0	0	100	140
183	¼­¸ð°Ë+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	75	0	0	0	0	100	140
184	¼­¸ð°Ë+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	75	0	0	0	0	100	140
185	¼­¸ð°Ë+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	75	0	0	0	0	100	140
186	¼­¸ð°Ë+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	75	0	0	0	0	100	140
187	¼­¸ð°Ë+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	75	0	0	0	0	100	140
188	¼­¸ð°Ë+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	75	0	0	0	0	100	140
189	¼­¸ð°Ë+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	75	0	0	0	0	100	140
190	»çÀÚ°Ë+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_ASSASSIN | ANTI_MUSA	LEVEL	75	0	0	77	105	90	110
191	»çÀÚ°Ë+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_ASSASSIN | ANTI_MUSA	LEVEL	75	0	0	74	102	90	110
192	»çÀÚ°Ë+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_ASSASSIN | ANTI_MUSA	LEVEL	75	0	0	70	100	90	110
193	»çÀÚ°Ë+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_ASSASSIN | ANTI_MUSA	LEVEL	75	0	0	69	99	90	110
194	»çÀÚ°Ë+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_ASSASSIN | ANTI_MUSA	LEVEL	75	0	0	67	98	90	110
195	»çÀÚ°Ë+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_SELL | ANTI_MUDANG | ANTI_ASSASSIN | ANTI_MUSA	LEVEL	75	0	0	63	96	90	110
196	»çÀÚ°Ë+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_SELL | ANTI_MUDANG | ANTI_ASSASSIN | ANTI_MUSA	LEVEL	75	0	0	56	93	90	110
197	»çÀÚ°Ë+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_SELL | ANTI_MUDANG | ANTI_ASSASSIN | ANTI_MUSA	LEVEL	75	0	0	46	87	90	110
198	»çÀÚ°Ë+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_SELL | ANTI_MUDANG | ANTI_ASSASSIN | ANTI_MUSA	LEVEL	75	0	0	29	79	90	110
